,L,max_stay_counter,m,n,quench,struc_count,ITC
404,6,6,0.5,0.5,2,53.9,227.4555742
405,6,6,0.5,0.6,0.1,81.08,229.2415435
406,6,6,0.5,0.6,0.2,79.42,229.994034
407,6,6,0.5,0.6,0.3,85.44,231.592135
408,6,6,0.5,0.6,0.4,82.32,230.9652494
409,6,6,0.5,0.6,0.5,80.2,230.5421557
410,6,6,0.5,0.6,0.65,80.6,231.6940079
411,6,6,0.5,0.6,0.8,87.36,231.1697152
412,6,6,0.5,0.6,1,96.04,223.4231462
413,6,6,0.5,0.6,2,58.52,226.2071003
414,6,6,0.5,0.7,0.1,86.52,229.002078
415,6,6,0.5,0.7,0.2,81.84,227.4961315
416,6,6,0.5,0.7,0.3,73.52,230.430125
417,6,6,0.5,0.7,0.4,79.3,229.2912579
418,6,6,0.5,0.7,0.5,84.24,230.9856158
419,6,6,0.5,0.7,0.65,77.46,229.4845164
420,6,6,0.5,0.7,0.8,79.4,231.5282802
421,6,6,0.5,0.7,1,77.34,229.3057752
422,6,6,0.5,0.7,2,63.1,225.2835016
423,6,6,0.5,0.8,0.1,81.38,230.1583101
424,6,6,0.5,0.8,0.2,81.92,230.9616167
425,6,6,0.5,0.8,0.3,80.26,228.2349454
426,6,6,0.5,0.8,0.4,76.52,230.9663613
427,6,6,0.5,0.8,0.5,79.06,229.9025135
428,6,6,0.5,0.8,0.65,88.38,228.0734356
429,6,6,0.5,0.8,0.8,93.26,223.2579962
430,6,6,0.5,0.8,1,95.36,229.644822
431,6,6,0.5,0.8,2,65.76,225.8353821
432,6,6,0.5,0.9,0.1,83.34,227.5143989
433,6,6,0.5,0.9,0.2,75.76,229.6637931
434,6,6,0.5,0.9,0.3,85.48,227.5933154
435,6,6,0.5,0.9,0.4,77.9,228.5668271
436,6,6,0.5,0.9,0.5,84.88,229.0363034
437,6,6,0.5,0.9,0.65,78.54,231.953155
438,6,6,0.5,0.9,0.8,78.26,230.322902
439,6,6,0.5,0.9,1,79.82,228.6492841
440,6,6,0.5,0.9,2,72.22,222.175294
441,6,6,0.5,1,0.1,80.84,229.3588382
442,6,6,0.5,1,0.2,83.02,230.9363171
443,6,6,0.5,1,0.3,81.9,230.3239882
444,6,6,0.5,1,0.4,83.78,231.151656
445,6,6,0.5,1,0.5,80.9,231.1846088
446,6,6,0.5,1,0.65,80.18,231.8558526
447,6,6,0.5,1,0.8,81.08,230.6627414
448,6,6,0.5,1,1,87.96,227.9479067
449,6,6,0.5,1,2,73.44,224.68501
450,6,6,0.5,1.1,0.1,82.08,228.0555256
451,6,6,0.5,1.1,0.2,74.88,228.3125229
452,6,6,0.5,1.1,0.3,79.34,232.2142366
453,6,6,0.5,1.1,0.4,80.94,229.5874015
454,6,6,0.5,1.1,0.5,78.7,229.1306126
455,6,6,0.5,1.1,0.65,78.86,229.0609264
456,6,6,0.5,1.1,0.8,85.6,230.4440287
457,6,6,0.5,1.1,1,88.34,229.4996927
458,6,6,0.5,1.1,2,81.44,224.7158244
459,6,6,0.5,1.2,0.1,81.92,230.3828223
460,6,6,0.5,1.2,0.2,74.02,229.5625426
461,6,6,0.5,1.2,0.3,80.2,230.6963336
462,6,6,0.5,1.2,0.4,84.04,227.5778604
463,6,6,0.5,1.2,0.5,75.92,231.2580457
464,6,6,0.5,1.2,0.65,83.18,229.9225335
465,6,6,0.5,1.2,0.8,73.86,230.3145775
